,pl_name,hostname,pl_orbper,pl_orbsmax,pl_rade,pl_bmasse,pl_orbeccen,pl_insol,pl_eqt,st_spectype,st_teff,st_rad,st_mass,st_met,st_logg,st_spectype_short,pl_tsurf_c,pl_hz_status,pl_type,P_HABITABLE,hz_zone_inner,hz_zone_outer,pl_system_class
2822,Kepler-231 c,Kepler-231,19.271566,0.114,1.93,24.1,0.0,6.27,393.0,M1 V,3767.0,0.49,0.58,-0.1,4.78,M,115.34572171967898,Too Hot,Super-Earth,0.0,0.12356925845971999,0.23060829385365583,Terrestrial-SuperEarth-Only
2823,Kepler-232 b,Kepler-232,4.431222,0.054,3.08,9.69,0.0,410.58,1104.0,nan,5847.0,0.97,0.97,0.03,4.5,,959.5775073665885,Too Hot,Neptune-Like,0.0,0.5893333822216316,1.0998299049389866,NeptuneLike-GasGiant-Only
2824,Kepler-232 c,Kepler-232,11.379349,0.101,3.83,14.0,0.0,116.52,806.0,nan,5847.0,0.97,0.97,0.03,4.5,,628.220374752266,Too Hot,Neptune-Like,0.0,0.5893333822216316,1.0998299049389866,NeptuneLike-GasGiant-Only
2825,Kepler-233 b,Kepler-233,8.472382,0.077,2.43,6.48,0.0,85.13,751.0,nan,5360.0,0.76,0.86,-0.09,4.61,,564.5166577020333,Too Hot,Neptune-Like,0.0,0.3880308827010144,0.7241537331987624,NeptuneLike-GasGiant-Only
2826,Kepler-233 c,Kepler-233,60.418955,0.287,2.71,7.8,0.0,6.2,390.0,nan,5360.0,0.76,0.86,-0.09,4.61,,160.73600626349327,Too Hot,Neptune-Like,0.0,0.3880308827010144,0.7241537331987624,NeptuneLike-GasGiant-Only
2827,Kepler-234 b,Kepler-234,2.711506,0.04,3.7,13.2,0.0,1007.72,1420.0,nan,6224.0,1.11,1.13,0.22,4.42,,1357.8204167479903,Too Hot,Neptune-Like,0.0,0.7641616997494721,1.4260992418674963,NeptuneLike-GasGiant-Only
2828,Kepler-234 c,Kepler-234,7.21205,0.077,3.51,12.1,0.0,273.3,1025.0,nan,6224.0,1.11,1.13,0.22,4.42,,902.3718791971622,Too Hot,Neptune-Like,0.0,0.7641616997494721,1.4260992418674963,NeptuneLike-GasGiant-Only
2829,Kepler-235 b,Kepler-235,3.340222,0.037,2.23,5.6,0.0,44.0,731.0,M0 V,4255.0,0.55,0.58,-0.51,4.73,M,542.9155659735785,Too Hot,Neptune-Like,0.0,0.17696400492324915,0.3302550145363469,Mixed-Members
2830,Kepler-235 c,Kepler-235,7.824904,0.065,1.28,2.18,0.0,14.2,555.0,M0 V,4255.0,0.55,0.58,-0.51,4.73,M,342.55011799961073,Too Hot,Super-Earth,0.0,0.17696400492324915,0.3302550145363469,Mixed-Members
2831,Kepler-235 d,Kepler-235,20.060548,0.122,2.05,4.86,0.0,4.03,401.0,M0 V,4255.0,0.55,0.58,-0.51,4.73,M,176.26338171260397,Too Hot,Super-Earth,0.0,0.17696400492324915,0.3302550145363469,Mixed-Members
2832,Kepler-235 e,Kepler-235,46.183669,0.213,2.22,5.56,0.0,1.33,306.0,M0 V,4255.0,0.55,0.58,-0.51,4.73,M,66.97308801240973,In HZ,Neptune-Like,0.0,0.17696400492324915,0.3302550145363469,Mixed-Members
