
st_host_name,pl_lm_class
Kepler-594,N/A
Kepler-591,N/A
Kepler-590,N/A
HD 1397,N/A
BD+63 1405,N/A
Kepler-1788,N/A
Kepler-1789,N/A
G 9-40,N/A
Kepler-1780,N/A
Kepler-568,N/A
Kepler-1781,N/A
Kepler-567,N/A
BD-08 2823,Ordered
Kepler-1782,N/A
Kepler-1783,N/A
Kepler-569,N/A
K2-270,Ordered
Kepler-1784,N/A
Kepler-564,N/A
Kepler-1785,N/A
Kepler-563,N/A
K2-272,N/A
Kepler-1786,N/A
Kepler-566,N/A
K2-271,N/A
Kepler-1787,N/A
Kepler-565,N/A
K2-274,N/A
K2-273,N/A
K2-276,N/A
Kepler-562,N/A
K2-275,Similar
Kepler-561,Ordered
K2-278,N/A
K2-277,N/A
K2-279,N/A
EPIC 201595106,Ordered
gam Psc,N/A
Kepler-1799,N/A
Kepler-1791,N/A
Kepler-579,N/A
Kepler-1792,N/A
Kepler-578,N/A
Kepler-1793,N/A
Kepler-1794,N/A
K2-281,N/A
Kepler-1795,N/A
Kepler-575,N/A
K2-280,N/A
Kepler-1796,N/A
Kepler-574,N/A
K2-283,N/A
Kepler-1797,N/A
Kepler-577,N/A
K2-282,N/A
Kepler-1798,N/A
Kepler-576,N/A
K2-285,Similar
Kepler-571,N/A
K2-284,N/A
Kepler-570,N/A
K2-287,N/A
Kepler-573,N/A
K2-286,N/A
Kepler-572,N/A
K2-289,N/A
Kepler-1790,N/A
HD 38283,N/A
HD 155193,N/A
GJ 480,N/A
HD 109286,N/A
HD 56957,N/A
HD 32963,N/A
TOI-1601,N/A
HD 115954,N/A
HD 111591,N/A
GJ 486,N/A
HD 5278,Ordered
HD 164922,Ordered
K2-13,N/A
Kepler-1186,N/A
K2-14,N/A
Kepler-1187,N/A
K2-15,N/A
Kepler-1188,N/A
K2-16,Similar
Kepler-1189,N/A
K2-17,N/A
K2-18,N/A
K2-19,Similar
Kepler-1180,N/A
Kepler-1181,Similar
Kepler-1182,N/A
K2-10,N/A
Kepler-1183,N/A
K2-11,N/A
Kepler-1184,N/A
K2-12,N/A
Kepler-1185,N/A
Kepler-1197,N/A
Kepler-1198,N/A
Kepler-1199,N/A
HD 140901,N/A
HD 163607,Ordered
Kepler-1190,N/A
Kepler-1191,N/A
Kepler-1192,N/A
Kepler-1193,N/A
Kepler-1194,N/A
GJ 463,N/A
Kepler-1195,N/A
Kepler-1196,N/A
KOI-1599,Anti-ordered
K2-35,Ordered
Kepler-1164,N/A
K2-36,Ordered
Kepler-1165,Ordered
K2-37,Similar
Kepler-1166,N/A
K2-38,Similar
Kepler-1167,N/A
TOI-1630,N/A
K2-39,N/A
Kepler-1168,N/A
Kepler-1169,N/A
TOI-907,N/A
TOI-908,N/A
K2-30,N/A
Kepler-1160,N/A
HD 217958,N/A
Kepler-1161,N/A
K2-33,N/A
Kepler-1162,Similar
K2-34,N/A
Kepler-1163,N/A
TOI-904,Similar
TOI-905,N/A
TOI-2981,N/A
HD 181433,Ordered
K2-24,Similar
Kepler-1175,N/A
K2-25,N/A
Kepler-1176,N/A
K2-26,N/A
Kepler-1177,N/A
Kepler-1178,N/A
K2-28,N/A
Kepler-1179,N/A
