,sy_snum,sy_pnum,pl_orbper,pl_orbsmax,pl_rade,pl_radj,pl_masse,pl_massj,pl_dens,pl_orbeccen,pl_ratdor,pl_ratror,st_teff,st_rad,st_mass,st_met,st_logg,st_age,st_dens,sy_dist,sy_bmag,sy_vmag,hz_label
2011,1,1,10.290994,0.091,13.79,1.23,92.17,0.29,0.16,0.57,14.2,0.0913,5800.0,1.35,0.96,-0.19,4.14,7.0,0.4,1017.8,15.13,14.301,0.0
2012,1,1,3.52563254,0.0433,12.11,1.08,403.63,1.27,1.02,0.22,11.65,0.1384,5150.0,0.8,0.87,0.09,4.57,5.0,1.704,686.284,16.584,15.362,0.0
2013,1,1,3.0240949,0.046,13.664,1.219,1026.5909,3.23,5.0,,6.975,0.08628,6041.0,1.42,1.32,0.33,4.26,,,1005.84,14.703,13.986,0.0
2014,1,2,35.968,0.2244,3.25,0.29,,,,,,0.02003,5884.0,1.49,1.17,0.2,4.15,,,917.477,14.636,13.908,0.0
2015,1,2,110.979,0.4757,1.75,0.16,,,,,,0.0108,5884.0,1.49,1.17,0.2,4.15,,,917.477,14.636,13.908,0.0
2016,1,3,6.803,0.0719,0.764,0.068,,,,,,0.0064,6004.0,1.09,1.07,0.07,4.4,,,486.546,12.85,12.139,0.0
2017,1,3,8.703,0.0847,0.668,0.06,,,,,,0.0056,6004.0,1.09,1.07,0.07,4.4,,,486.546,12.85,12.139,0.0
2018,1,3,11.922,0.1045,1.11,0.1,,,,,,0.0093,6004.0,1.09,1.07,0.07,4.4,,,486.546,12.85,12.139,0.0
2020,1,1,5.33408384,0.0679,16.25,1.45,896.24,2.82,1.13,0.119,6.44,0.0659,6360.0,2.26,1.46,-0.01,3.89,2.67,0.177,1878.31,15.373,14.717,0.0
2021,1,1,12.8747099,0.1143,12.67,1.13,908.96,2.86,2.4,0.131,17.9,0.0835,5977.0,1.38,1.2,0.25,4.24,4.0,0.65,1222.54,15.229,14.49,0.0
2022,1,1,8.6001536,0.0948,22.31,1.99,266.97,0.84,0.131,0.114,6.35,0.06384,6161.0,3.21,1.54,-0.18,3.61,2.25,0.066,1418.77,14.228,13.704,0.0
2023,1,2,64.00205,0.339,2.73,0.24,,,,0.19,104.0,0.0354,4651.0,0.7,0.73,0.01,4.62,3.0,3.03,588.867,17.436,15.971,1.0
2025,1,1,66.65062,0.288,2.14,0.19,,,,0.02,91.0,0.0279,4551.0,0.68,0.71,0.0,4.63,2.9,3.18,,16.166,14.628,1.0
2026,1,1,35.23319,0.166,1.12,0.1,,,,0.03,73.0,0.02,3748.0,0.52,0.54,0.16,4.74,4.4,5.52,,16.598,15.104,1.0
2027,1,1,178.1396,0.563,2.24,0.2,,,,0.03,142.0,0.02392,5431.0,0.87,0.88,0.02,4.51,7.2,1.89,757.048,15.535,14.654,1.0
2028,1,1,3.2467293,0.0446,12.22,1.09,317.82,1.0,0.93,0.066,7.07,0.0828,5800.0,1.35,1.12,0.15,4.22,5.8,0.63,1188.0,14.924,14.803,0.0
2029,1,1,101.11141,0.242,1.86,0.17,,,,0.34,99.0,0.03038,4134.0,0.56,0.57,-0.3,4.71,1.3,4.76,301.03,17.394,15.637,1.0
2030,1,1,207.2482,0.64,1.64,0.15,,,,0.1,260.0,0.028,4340.0,0.55,0.57,-0.57,4.71,1.9,4.94,268.003,17.379,15.567,0.0
2031,1,1,112.3053,0.409,1.34,0.12,,,,0.04,146.0,0.0211,4402.0,0.6,0.61,-0.37,4.67,2.9,4.01,365.965,16.753,15.322,1.0
2032,1,1,177.6693,0.495,2.33,0.21,,,,0.11,151.0,0.0304,4723.0,0.71,0.74,-0.01,4.61,3.2,2.96,802.271,18.085,16.207,1.0
2048,1,1,2.455239,0.03,10.76,0.96,160.497,0.505,0.8,0.11,10.6,0.179,3820.0,0.55,0.59,0.28,4.7,0.5,4.0,381.949,18.195,16.744,0.0
2052,1,1,384.843,1.046,1.63,0.145,,,,,,0.0128,5757.0,1.11,1.04,0.21,4.32,6.0,0.84,551.727,14.505,13.54,1.0
2054,2,3,10.5737534,0.09528,2.37,0.211,5.4,0.01699,2.23,0.32,,,5687.0,1.07,1.03,0.32,,5.25,,230.869,12.382,11.567,0.0
2057,1,3,33.60134,0.1968,9.057,0.808,1907.0,6.0,14.0,0.01,45.1,0.0887,5155.0,0.94,0.9,0.41,4.45,9.7,1.53,777.06,16.235,15.312,0.0
2058,1,3,57.011,0.2799,,,119.499,0.376,,0.0146,64.1,,5155.0,0.94,0.9,0.41,4.45,9.7,1.53,777.06,16.235,15.312,0.0
2110,1,1,3.5484657,0.0538,15.984,1.426,670.93913,2.111,0.4,,6.45,0.07996,6297.0,1.79,1.37,0.04,3.96,,,899.777,14.161,13.325,0.0
2123,1,3,45.154,0.2514,7.1,0.633,2.1,0.007,0.03,0.04,61.5,0.07414,6018.0,0.94,1.04,,4.51,0.3,2.16,783.831,15.119,14.885,0.0
2124,1,3,85.312,0.384,9.0,0.803,4.0,0.013,0.03,0.014,94.1,0.094,6018.0,0.94,1.04,,4.51,0.3,2.16,783.831,15.119,14.885,0.0
2125,1,3,130.194,0.509,9.7,0.865,7.6,0.024,0.046,0.008,124.7,0.10141,6018.0,0.94,1.04,,4.51,0.3,2.16,783.831,15.119,14.885,0.0
2166,2,1,81.73778,0.3554,2.215,0.198,12.9,0.04059,6.5,0.21,,,5534.0,0.87,0.89,-0.09,,5.3,,155.956,12.161,11.27,0.0
2167,1,2,125.63243,0.4988,8.373,0.747,308.2951,0.97,2.9,0.39,94.60738,,5820.0,0.95,1.05,-0.01,4.5,,1.713,307.318,13.15,12.444,0.0
2168,1,2,1000.0,2.42,,,762.792,2.4,,0.5,,,5820.0,0.95,1.05,-0.01,4.5,,1.713,307.318,13.15,12.444,1.0
2183,1,3,24.61480613,0.1575,4.2,,,,,0.0,66.7,0.03898,5312.0,0.99,0.86,0.16,4.38,,9.2699,635.145,13.98,14.805,0.0
2192,1,2,4.030467,0.04766,4.741,0.423,116.00737,0.365,,,11.4,0.04828,5191.0,0.9,0.89,0.152,4.48,8.8,1.727,728.525,16.14,15.034,0.0
2193,1,2,328.24017,0.898,11.579,1.033,2129.45033,6.7,7.53,0.346,214.8,0.11778,5191.0,0.9,0.89,0.152,4.48,8.8,1.727,728.525,16.14,15.034,1.0
2228,1,4,4.45814897,0.0533,1.61,,,,,0.0,8.09,0.01364,6100.0,1.08,1.02,-0.12,4.38,,0.5039,969.252,15.343,15.086,0.0
2254,1,1,3.2346996,0.04852,14.617,1.304,212.31044,0.668,0.4,,7.503,0.09424,5647.0,1.39,1.21,0.34,4.24,,,587.039,14.051,13.286,0.0
2255,1,3,7.1334,,1.71,0.153,4.19,0.01318,4.62,,,,5905.0,1.26,1.04,-0.09,,,,1025.1,14.477,13.95,0.0
2256,1,3,8.9187,,1.9,0.17,3.85,0.01211,3.06,,,,5905.0,1.26,1.04,-0.09,,,,1025.1,14.477,13.95,0.0
2257,1,3,11.8981,,1.99,0.178,4.16,0.01309,2.91,,,,5905.0,1.26,1.04,-0.09,,,,1025.1,14.477,13.95,0.0
2272,1,1,59.87756,,2.15,0.192,,,,0.25,90.6,0.03301,4017.0,0.62,0.64,0.03,,1.0,,335.079,17.138,15.277,1.0
2287,1,3,11.67894236,0.1021,4.17,,,,,0.0,31.4,0.03959,6122.0,0.96,1.04,-0.18,4.49,,4.2773,900.678,15.607,14.84,0.0
2288,1,5,5.714932,0.0553,1.31,0.117,9.0,0.03,,,18.7,0.0188,4925.0,0.64,0.69,-0.37,4.68,7.0,3.8,300.874,15.027,13.965,0.0
2289,1,5,12.4417,0.0929,0.54,0.048,4.0,0.013,,,31.4,0.0077,4925.0,0.64,0.69,-0.37,4.68,7.0,3.8,300.874,15.027,13.965,0.0
2290,1,5,18.16406,0.12,1.95,0.174,14.0,0.044,,,40.4,0.0278,4925.0,0.64,0.69,-0.37,4.68,7.0,3.8,300.874,15.027,13.965,0.0
2291,1,5,122.3874,0.427,1.61,0.144,36.0,0.113,,,144.0,0.0232,4925.0,0.64,0.69,-0.37,4.68,7.0,3.8,300.874,15.027,13.965,1.0
2292,1,5,267.291,0.718,1.41,0.126,35.0,0.11,,,243.0,0.0203,4925.0,0.64,0.69,-0.37,4.68,7.0,3.8,300.874,15.027,13.965,1.0
2337,1,2,5.25449393,0.0602,1.41,,,,,0.0,7.52,0.01357,5550.0,0.95,1.05,0.46,4.5,,0.2908,890.352,16.314,15.549,0.0
2363,2,4,5.39875259,0.06135,2.357,0.21,8.03,0.02527,3.37,0.09,,,5847.0,1.26,1.06,0.11,,6.84,,144.166,10.728,10.077,0.0
2364,2,4,9.605027,0.09008,0.979,0.087,1.3,0.00409,7.5,0.099,,,5847.0,1.26,1.06,0.11,,6.84,,144.166,10.728,10.077,0.0
2375,1,2,13.722341,0.094,2.24,0.2,,,,0.16,21.8,0.02207,5638.0,0.93,0.81,-0.29,4.4,,1.37,730.625,14.655,13.866,0.0
2376,1,2,242.4613,0.64,1.71,0.153,,,,0.14,148.0,0.0168,5638.0,0.93,0.81,-0.29,4.4,,1.37,730.625,14.655,13.866,1.0
2386,1,1,4.8854892,0.06067,18.181,1.622,140.16303,0.441,0.14,,6.637,0.08294,5933.0,1.97,1.36,0.11,3.98,,,922.562,13.62,13.008,0.0
2419,1,2,6.49168281,0.0694,12.33,1.1,,,,,10.6,0.08013,5620.0,1.41,1.05,0.21,4.16,9.5,0.529,1935.04,16.639,15.782,0.0
2420,1,2,2.85188338,0.03997,1.569,0.14,,,,,6.1,0.01025,5620.0,1.41,1.05,0.21,4.16,9.5,0.529,1935.04,16.639,15.782,0.0
2431,1,1,7.340711,0.0781,10.76,0.96,200.22,0.63,0.88,0.0,15.47,0.0912,6000.0,1.12,1.18,0.42,4.44,0.8,1.3,1177.55,15.251,14.487,0.0
2442,1,1,8.8849116,0.0818,11.77,1.05,3209.9,10.1,11.0,0.57,19.77,0.1212,5200.0,0.89,0.91,0.3,4.5,6.2,1.85,835.356,16.237,15.414,0.0
2458,1,1,1.5449298,0.0274,15.244,1.36,638.8383,2.01,1.1,,4.464,0.1033,6409.0,1.32,1.2,-0.1,4.2,,,822.96,13.478,13.474,0.0
2464,1,3,4.09667624,0.0466,1.42,,,,,0.0,14.38,0.01546,4999.0,0.84,0.8,0.18,4.49,,3.351,962.459,16.883,15.965,0.0
2465,1,3,6.50327035,0.0634,1.67,,,,,0.0,19.47,0.01813,4999.0,0.84,0.8,0.18,4.49,,3.3028,962.459,16.883,15.965,0.0
2473,1,1,3.57878087,0.04501,10.761,0.96,136.661,0.43,0.603,0.0,9.764,0.09924,5520.0,0.99,0.95,0.2,4.42,7.5,1.365,639.411,15.028,14.152,0.0
2486,2,1,0.35500745,0.00901,1.201,0.107,1.68,0.00529,5.33,0.0,,,5058.0,0.75,0.78,-0.18,,,,124.376,12.865,11.717,0.0
2493,1,2,17.157236,0.1309,1.55,,,,,0.0,11.41,0.00956,5676.0,1.49,1.02,0.1,4.1,,0.0955,1303.72,14.343,13.392,0.0
2514,1,1,3.5224991,0.0474,15.872,1.416,187.5197,0.59,0.27,,6.854,0.09575,6213.0,1.49,1.21,-0.055,4.17,,,1021.87,13.804,13.598,0.0
2520,1,6,14.64558,,1.13,0.101,,,,,45.0,0.0153,4540.0,0.68,0.83,0.04,4.64,,,369.451,16.303,15.23,0.0
2585,1,1,394.62508,1.137,8.082,0.721,298.7587,0.94,3.09,0.078,134.0,0.04063,5950.0,1.82,1.26,0.145,4.02,4.7,0.292,822.134,13.708,12.878,0.0
2604,1,2,2.42150341,0.0382,1.62,,,,,0.0,5.35,0.01238,6213.0,1.2,1.27,0.36,4.39,,0.4952,2022.9,16.337,15.898,0.0
2606,1,2,6.20920207,0.061,0.89,,,,,0.0,17.49,0.00919,5440.0,0.89,0.78,-0.24,4.44,,2.6258,586.137,15.583,14.635,0.0
2611,1,2,114.73635,0.481,13.49,1.204,324.2,1.02,0.729,0.036,57.4,0.06855,5600.0,1.82,1.1,-0.17,3.96,7.5,,1232.9,15.429,14.681,0.0
2612,1,2,191.2318,0.676,6.14,0.548,6.4,0.02,0.152,0.039,80.7,0.03123,5600.0,1.82,1.1,-0.17,3.96,7.5,,1232.9,15.429,14.681,0.0
2624,1,2,11.8061737,0.1216,2.87,,,,,0.0,9.08,0.01011,6900.0,2.6,1.71,0.0,3.84,,0.1016,601.324,12.358,11.845,0.0
2642,1,2,29.5422566,0.1792,3.15,,,,,0.0,6.444,0.03589,5510.0,0.8,0.88,-0.16,4.57,,0.0058,2334.93,16.45,15.457,0.0
2648,1,3,1.592851,0.0273,1.64,0.146,,,,,5.54,0.0147,5777.0,1.02,1.07,0.12,4.49,1.0,,628.257,14.57,13.922,0.0
2649,1,8,14.44912,,1.32,0.118,,,,,33.8,0.00935,6015.0,1.29,1.12,0.098,4.27,,,848.254,14.604,13.883,0.0
2661,1,1,6.24658,0.0731,15.323,1.367,257.4423,0.81,0.4,,2.496,0.02181,4550.0,6.3,1.31,0.11,2.95,,,1294.69,14.097,12.712,0.0
2687,1,2,4.72673978,0.05343,1.478,0.132,4.66,0.01466,7.93,0.0,,,5669.0,0.92,0.91,-0.18,,6.6,,95.9115,10.731,9.996,0.0
2710,1,2,20.99757968,0.1394,2.97,,,,,0.0,64.9,0.03036,5211.0,0.9,0.82,0.08,4.45,,11.7201,486.105,15.72,14.718,0.0
2744,1,2,5.05821338,0.0567,10.69,,,,,0.0,11.53,0.05871,4883.0,1.67,0.95,0.56,3.97,,1.1333,426.088,16.118,14.633,0.0
2772,4,1,138.317,0.652,6.18,0.551,169.0,0.531,,0.0702,22.1435,0.03268,6407.0,1.73,1.53,0.21,4.14,2.0,0.293,1033.16,14.932,13.841,0.0
2773,1,1,282.52542,0.833,9.337,0.833,87.08498,0.274,0.58,0.215,188.9,0.0903,5734.0,0.95,0.97,0.017,4.47,4.1,1.6,343.863,13.446,12.645,1.0
