,sy_snum,sy_pnum,pl_orbper,pl_orbsmax,pl_rade,pl_radj,pl_masse,pl_massj,pl_dens,pl_orbeccen,pl_insol,pl_eqt,pl_ratdor,pl_ratror,st_teff,st_rad,st_mass,st_met,st_lum,st_logg,st_age,st_dens,st_vsin,st_rotp,st_radv,sy_dist,sy_bmag,sy_vmag,label
2010,1,1,3.21751883,0.0414,12.22,1.09,108.06,0.34,0.26,0.18,,1300.0,9.67,0.1221,5725.0,0.92,0.91,-0.21,-0.089,4.47,6.0,1.17,3.0,,-78.83,843.695,15.736,15.032,0.0
2011,1,1,10.290994,0.091,13.79,1.23,92.17,0.29,0.16,0.57,,1100.0,14.2,0.0913,5800.0,1.35,0.96,-0.19,0.29,4.14,7.0,0.4,3.0,,-23.94,1017.8,15.13,14.301,0.0
2012,1,1,3.52563254,0.0433,12.11,1.08,403.63,1.27,1.02,0.22,,1070.0,11.65,0.1384,5150.0,0.8,0.87,0.09,-0.39,4.57,5.0,1.704,2.0,,-21.3,686.284,16.584,15.362,0.0
2013,1,1,3.0240949,0.046,13.664,1.219,1026.5909,3.23,5.0,,,1620.0,6.975,0.08628,6041.0,1.42,1.32,0.33,,4.26,,,,,,1005.84,14.703,13.986,0.0
2014,1,2,35.968,0.2244,3.25,0.29,,,,,,667.0,,0.02003,5884.0,1.49,1.17,0.2,,4.15,,,,,,917.477,14.636,13.908,0.0
2015,1,2,110.979,0.4757,1.75,0.16,,,,,,458.0,,0.0108,5884.0,1.49,1.17,0.2,,4.15,,,,,,917.477,14.636,13.908,0.0
2016,1,3,6.803,0.0719,0.764,0.068,,,,,,1032.0,,0.0064,6004.0,1.09,1.07,0.07,,4.4,,,,,,486.546,12.85,12.139,0.0
2017,1,3,8.703,0.0847,0.668,0.06,,,,,,951.0,,0.0056,6004.0,1.09,1.07,0.07,,4.4,,,,,,486.546,12.85,12.139,0.0
2018,1,3,11.922,0.1045,1.11,0.1,,,,,,856.0,,0.0093,6004.0,1.09,1.07,0.07,,4.4,,,,,,486.546,12.85,12.139,0.0
2020,1,1,5.33408384,0.0679,16.25,1.45,896.24,2.82,1.13,0.119,,1776.0,6.44,0.0659,6360.0,2.26,1.46,-0.01,0.88,3.89,2.67,0.177,11.0,,-1.28,1878.31,15.373,14.717,0.0
2021,1,1,12.8747099,0.1143,12.67,1.13,908.96,2.86,2.4,0.131,,1000.0,17.9,0.0835,5977.0,1.38,1.2,0.25,0.33,4.24,4.0,0.65,3.0,,-51.16,1222.54,15.229,14.49,0.0
2022,1,1,8.6001536,0.0948,22.31,1.99,266.97,0.84,0.131,0.114,,1729.0,6.35,0.06384,6161.0,3.21,1.54,-0.18,1.129,3.61,2.25,0.066,6.0,,-26.37,1418.77,14.228,13.704,0.0
2028,1,1,3.2467293,0.0446,12.22,1.09,317.82,1.0,0.93,0.066,,1544.0,7.07,0.0828,5800.0,1.35,1.12,0.15,,4.22,5.8,0.63,4.0,,-35.89,1188.0,14.924,14.803,0.0
2048,1,1,2.455239,0.03,10.76,0.96,160.497,0.505,0.8,0.11,,1000.0,10.6,0.179,3820.0,0.55,0.59,0.28,,4.7,0.5,4.0,,,,381.949,18.195,16.744,0.0
2052,1,1,384.843,1.046,1.63,0.145,,,,,1.1,265.0,,0.0128,5757.0,1.11,1.04,0.21,,4.32,6.0,0.84,,,,551.727,14.505,13.54,1.0
2054,2,3,10.5737534,0.09528,2.37,0.211,5.4,0.01699,2.23,0.32,117.7,916.0,,,5687.0,1.07,1.03,0.32,,,5.25,,,,,230.869,12.382,11.567,0.0
2057,1,3,33.60134,0.1968,9.057,0.808,1907.0,6.0,14.0,0.01,,543.0,45.1,0.0887,5155.0,0.94,0.9,0.41,-0.255,4.45,9.7,1.53,,,,777.06,16.235,15.312,0.0
2058,1,3,57.011,0.2799,,,119.499,0.376,,0.0146,,455.0,64.1,,5155.0,0.94,0.9,0.41,-0.255,4.45,9.7,1.53,,,,777.06,16.235,15.312,0.0
2110,1,1,3.5484657,0.0538,15.984,1.426,670.93913,2.111,0.4,,,1750.0,6.45,0.07996,6297.0,1.79,1.37,0.04,,3.96,,,,,,899.777,14.161,13.325,0.0
2123,1,3,45.154,0.2514,7.1,0.633,2.1,0.007,0.03,0.04,,543.0,61.5,0.07414,6018.0,0.94,1.04,,,4.51,0.3,2.16,,,,783.831,15.119,14.885,0.0
2124,1,3,85.312,0.384,9.0,0.803,4.0,0.013,0.03,0.014,,439.0,94.1,0.094,6018.0,0.94,1.04,,,4.51,0.3,2.16,,,,783.831,15.119,14.885,0.0
2125,1,3,130.194,0.509,9.7,0.865,7.6,0.024,0.046,0.008,,381.0,124.7,0.10141,6018.0,0.94,1.04,,,4.51,0.3,2.16,,,,783.831,15.119,14.885,0.0
2166,2,1,81.73778,0.3554,2.215,0.198,12.9,0.04059,6.5,0.21,5.07,417.0,,,5534.0,0.87,0.89,-0.09,,,5.3,,,,,155.956,12.161,11.27,0.0
2167,1,2,125.63243,0.4988,8.373,0.747,308.2951,0.97,2.9,0.39,,388.0,94.60738,,5820.0,0.95,1.05,-0.01,,4.5,,1.713,4.4,11.77,9.96,307.318,13.15,12.444,0.0
2168,1,2,1000.0,2.42,,,762.792,2.4,,0.5,,253.0,,,5820.0,0.95,1.05,-0.01,,4.5,,1.713,4.4,11.77,9.96,307.318,13.15,12.444,1.0
2183,1,3,24.61480613,0.1575,4.2,,,,,0.0,27.93,586.0,66.7,0.03898,5312.0,0.99,0.86,0.16,,4.38,,9.2699,,,,635.145,13.98,14.805,0.0
2192,1,2,4.030467,0.04766,4.741,0.423,116.00737,0.365,,,436000.0,1089.0,11.4,0.04828,5191.0,0.9,0.89,0.152,-0.271,4.48,8.8,1.727,,,,728.525,16.14,15.034,0.0
2193,1,2,328.24017,0.898,11.579,1.033,2129.45033,6.7,7.53,0.346,1090.0,251.0,214.8,0.11778,5191.0,0.9,0.89,0.152,-0.271,4.48,8.8,1.727,,,,728.525,16.14,15.034,1.0
2228,1,4,4.45814897,0.0533,1.61,,,,,0.0,511.6,1212.0,8.09,0.01364,6100.0,1.08,1.02,-0.12,,4.38,,0.5039,,,,969.252,15.343,15.086,0.0
2254,1,1,3.2346996,0.04852,14.617,1.304,212.31044,0.668,0.4,,,1460.0,7.503,0.09424,5647.0,1.39,1.21,0.34,,4.24,,,,,,587.039,14.051,13.286,0.0
2272,1,1,59.87756,,2.15,0.192,,,,0.25,,273.0,90.6,0.03301,4017.0,0.62,0.64,0.03,,,1.0,,,,,335.079,17.138,15.277,1.0
2287,1,3,11.67894236,0.1021,4.17,,,,,0.0,112.07,830.0,31.4,0.03959,6122.0,0.96,1.04,-0.18,,4.49,,4.2773,,,,900.678,15.607,14.84,0.0
2288,1,5,5.714932,0.0553,1.31,0.117,9.0,0.03,,,,750.0,18.7,0.0188,4925.0,0.64,0.69,-0.37,-0.678,4.68,7.0,3.8,0.4,,,300.874,15.027,13.965,0.0
