,key_0,pl_name,hostname,sy_snum,sy_pnum,discoverymethod,disc_year,disc_facility,pl_controv_flag,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,ttv_flag,st_spectype,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_met,st_meterr1,st_meterr2,st_metlim,st_metratio,st_logg,st_loggerr1,st_loggerr2,st_logglim,rastr,ra,decstr,dec,sy_dist,sy_disterr1,sy_disterr2,sy_vmag,sy_vmagerr1,sy_vmagerr2,sy_kmag,sy_kmagerr1,sy_kmagerr2,sy_gaiamag,sy_gaiamagerr1,sy_gaiamagerr2,placeholder1,placeholder2,raw_data_calc_orb_sma,placeholder3,raw_data_tsurf_k,raw_data_tsurf_c,pl_tsurf_k,pl_tsurf_c,P_HABITABLE
1408,kepler-1002 b,Kepler-1002 b,Kepler-1002,1,1,Transit,2016,Kepler,0,4.33642933,6.95e-06,-6.95e-06,0.0,0.0564,,,0.0,1.71,0.06,-0.05,0.0,0.153,0.005,-0.004,0.0,3.57,,,0.0,0.0112,,,0.0,M-R relationship,0.0,,,0.0,981.68,102.83,-94.79,0.0,1453.0,,,0.0,0,,6144.0,47.25,-61.08,0.0,1.57,0.05,-0.04,0.0,1.22,0.05,-0.05,0.0,0.04,0.07,-0.057,0.0,[Fe/H],4.13,0.01,-0.01,0.0,19h32m19.07s,293.0794629,+43d04m25.24s,43.073677,408.303,,,11.821,0.022,-0.022,10.374,0.021,-0.021,11.6475,0.000323,-0.000323,,,0.055609452,,1612.525238,1339.375238,1612.5251140318762,1339.3751140318764,0
1409,kepler-1003 b,Kepler-1003 b,Kepler-1003,1,1,Transit,2016,Kepler,0,3.55485691,6.71e-06,-6.71e-06,0.0,0.0444,,,0.0,1.78,0.48,-0.22,0.0,0.159,0.043,-0.02,0.0,3.82,,,0.0,0.012,,,0.0,M-R relationship,0.0,,,0.0,814.92,34.8,-33.35,0.0,1157.0,,,0.0,0,,6109.0,150.04,-195.29,0.0,1.17,0.32,-0.15,0.0,1.11,0.13,-0.08,0.0,0.01,0.14,-0.172,0.0,[Fe/H],4.35,0.09,-0.17,0.0,19h28m04.90s,292.0204349,+44d52m34.47s,44.8762427,941.902,15.703,-15.206,14.132,0.069,-0.069,12.623,0.028,-0.028,14.0225,0.000225,-0.000225,,,0.047198649,,1559.971307,1286.821307,1559.9711870323517,1286.8211870323516,0
1410,kepler-1004 b,Kepler-1004 b,Kepler-1004,1,1,Transit,2016,Kepler,0,5.28789787,1.198e-05,-1.198e-05,0.0,0.0671,,,0.0,6.28,0.78,-0.44,0.0,0.56,0.07,-0.039,0.0,32.5,,,0.0,0.102,,,0.0,M-R relationship,0.0,,,0.0,1610.09,106.35,-97.79,0.0,1661.0,,,0.0,0,,4972.0,52.3,-39.52,0.0,3.39,0.28,-0.22,0.0,1.11,0.18,-0.12,0.0,-0.04,0.023,-0.031,0.0,[Fe/H],3.43,0.02,-0.02,0.0,19h49m26.24s,297.3593427,+49d47m51.17s,49.7975464,1152.68,35.67,-35.67,13.705,0.08,-0.08,11.06,0.014,-0.014,13.3998,0.000272,-0.000272,,,0.061504023,,1757.983313,1484.833313,1757.9831777420736,1484.8331777420735,0
1411,kepler-1005 b,Kepler-1005 b,Kepler-1005,1,1,Transit,2016,Kepler,0,6.49801525,1.32e-05,-1.32e-05,0.0,0.0669,,,0.0,1.5,0.21,-0.15,0.0,0.134,0.019,-0.013,0.0,2.86,,,0.0,0.00899,,,0.0,M-R relationship,0.0,,,0.0,301.33,6.08,-5.97,0.0,1026.0,,,0.0,0,,5782.0,68.03,-67.92,0.0,1.06,0.15,-0.1,0.0,1.0,0.04,-0.04,0.0,0.02,0.089,-0.103,0.0,[Fe/H],4.38,0.09,-0.11,0.0,19h05m08.62s,286.2858998,+43d19m13.83s,43.3205085,567.806,4.422,-4.356,13.371,0.137,-0.137,11.718,0.014,-0.014,13.1838,0.00024,-0.00024,,,0.068149234,,1144.887992,871.7379922,1144.8879042273015,871.7379042273016,0
1412,kepler-1006 b,Kepler-1006 b,Kepler-1006,1,1,Transit,2016,Kepler,0,19.76172042,6.67e-05,-6.67e-05,0.0,0.1464,,,0.0,1.54,0.27,-0.14,0.0,0.137,0.024,-0.012,0.0,2.99,,,0.0,0.0094,,,0.0,M-R relationship,0.0,,,0.0,153.49,8.11,-7.64,0.0,791.0,,,0.0,0,,5328.0,180.84,-112.84,0.0,0.74,0.09,-0.06,0.0,0.78,0.07,-0.06,0.0,-0.4,0.237,-0.189,0.0,[Fe/H],4.59,0.04,-0.08,0.0,19h43m01.01s,295.7542063,+42d32m14.30s,42.5373065,1081.738,24.999,-23.959,14.467,0.206,-0.206,12.502,0.024,-0.024,,,,,,0.131680619,,595.8741934,322.7241934,595.8741475573963,322.72414755739635,0
1413,kepler-1007 b,Kepler-1007 b,Kepler-1007,1,1,Transit,2016,Kepler,0,5.18500207,9.32e-06,-9.32e-06,0.0,0.048,,,0.0,1.44,0.07,-0.07,0.0,0.128,0.006,-0.006,0.0,2.67,,,0.0,0.00839,,,0.0,M-R relationship,0.0,,,0.0,42.62,13.44,-12.09,0.0,652.0,,,0.0,0,,4587.0,88.05,-98.48,0.0,0.7,0.03,-0.03,0.0,0.73,0.03,-0.04,0.0,0.03,0.152,-0.16,0.0,[Fe/H],4.62,0.02,-0.03,0.0,19h43m37.57s,295.9065297,+45d48m32.72s,45.8090893,365.0,17.69,-18.886,14.981,0.034,-0.034,12.224,0.016,-0.016,14.7347,0.000957,-0.000957,,,0.052789482,,871.3691515,598.2191515,871.3690844763107,598.2190844763107,0
1414,kepler-1009 b,Kepler-1009 b,Kepler-1009,1,1,Transit,2016,Kepler,0,11.35011917,2.25e-05,-2.25e-05,0.0,0.0796,,,0.0,2.17,0.27,-0.24,0.0,0.194,0.024,-0.021,0.0,5.35,,,0.0,0.0168,,,0.0,M-R relationship,0.0,,,0.0,11.56,1.22,-1.12,0.0,403.0,,,0.0,0,,4027.0,41.14,-36.46,0.0,0.57,0.02,-0.02,0.0,0.59,0.02,-0.03,0.0,-0.12,0.091,-0.107,0.0,[Fe/H],4.7,0.01,-0.01,0.0,18h51m26.37s,282.8598614,+42d39m57.00s,42.6658336,355.019,8.353,-7.985,15.758,0.103,-0.103,12.347,0.023,-0.023,15.3014,0.000406,-0.000406,,,0.082900683,,536.0527927,262.9027927,536.0527515161783,262.90275151617834,0
1415,kepler-101 b,Kepler-101 b,Kepler-101,1,2,Transit,2014,Kepler,0,3.4876812,7e-06,-7e-06,0.0,0.0474,0.001,-0.0008,0.0,5.77,0.85,-0.79,0.0,0.51,0.08,-0.07,0.0,51.1,5.1,-4.7,0.0,0.16,0.02,-0.01,0.0,Mass,0.086,0.08,-0.059,0.0,1240.33,46.32,-44.58,0.0,1513.0,103.0,-145.0,0.0,0,G3 IV,5667.0,50.0,-50.0,0.0,1.56,0.2,-0.2,0.0,1.17,0.07,-0.05,0.0,0.33,0.07,-0.07,0.0,[Fe/H],4.12,0.11,-0.09,0.0,18h53m01.32s,283.255507,+48d21m18.89s,48.3552474,927.981,14.7985,-14.7985,13.7,0.069,-0.069,12.011,0.02,-0.02,13.5672,0.000214,-0.000214,,,0.047427143,,1617.228478,1344.078478,1617.228353920208,1344.078353920208,0
1416,kepler-101 c,Kepler-101 c,Kepler-101,1,2,Transit,2014,Kepler,0,6.02976,7.5e-05,-7.5e-05,0.0,0.0684,0.0014,-0.0014,0.0,1.25,0.19,-0.17,0.0,0.112,0.017,-0.015,0.0,3.78,,,1.0,0.01,,,1.0,Mass,0.0,,,0.0,596.07,22.26,-21.42,0.0,1413.0,238.0,-210.0,0.0,0,G3 IV,5667.0,50.0,-50.0,0.0,1.56,0.2,-0.2,0.0,1.17,0.07,-0.05,0.0,0.33,0.07,-0.07,0.0,[Fe/H],4.12,0.11,-0.09,0.0,18h53m01.32s,283.255507,+48d21m18.89s,48.3552474,927.981,14.7985,-14.7985,13.7,0.069,-0.069,12.011,0.02,-0.02,13.5672,0.000214,-0.000214,,,0.068318103,,1346.27103,1073.12103,1346.2709261406205,1073.1209261406207,0
1417,kepler-1010 b,Kepler-1010 b,Kepler-1010,1,1,Transit,2016,Kepler,0,34.2685705,0.0001181,-0.0001181,0.0,0.193,,,0.0,2.32,0.44,-0.18,0.0,0.207,0.039,-0.016,0.0,5.99,,,0.0,0.0189,,,0.0,M-R relationship,0.0,,,0.0,10.17,0.34,-0.33,0.0,477.0,,,0.0,0,,5253.0,67.75,-80.75,0.0,0.82,0.05,-0.04,0.0,0.86,0.04,-0.04,0.0,-0.01,0.155,-0.164,0.0,[Fe/H],4.55,0.03,-0.07,0.0,19h16m46.22s,289.1926026,+44d08m57.54s,44.1493165,579.273,7.259,-7.084,14.964,0.183,-0.183,12.771,0.024,-0.024,14.6875,0.000296,-0.000296,,,0.196352891,,538.6178126,265.4678126,538.6177712108837,265.4677712108837,0
1418,kepler-1011 b,Kepler-1011 b,Kepler-1011,1,1,Transit,2016,Kepler,0,5.75322197,9.42e-06,-9.42e-06,0.0,0.0633,,,0.0,2.87,0.29,-0.44,0.0,0.256,0.026,-0.039,0.0,8.6,,,0.0,0.0271,,,0.0,M-R relationship,0.0,,,0.0,108.79,5.0,-4.78,0.0,920.0,,,0.0,0,,5416.0,95.5,-130.93,0.0,0.88,0.09,-0.05,0.0,0.91,0.04,-0.04,0.0,0.08,0.154,-0.161,0.0,[Fe/H],4.52,0.04,-0.09,0.0,19h49m36.37s,297.4015491,+46d49m26.39s,46.8239976,736.779,13.062,-12.623,15.294,0.126,-0.126,13.361,0.031,-0.031,15.2028,0.000643,-0.000643,,,0.060892206,,1004.530612,731.3806124,1004.5305351481816,731.3805351481816,0
1419,kepler-1012 b,Kepler-1012 b,Kepler-1012,1,1,Transit,2016,Kepler,0,5.50860439,1.151e-05,-1.151e-05,0.0,0.0585,,,0.0,1.29,0.08,-0.06,0.0,0.115,0.007,-0.005,0.0,2.21,,,0.0,0.00696,,,0.0,M-R relationship,0.0,,,0.0,191.81,3.57,-3.53,0.0,934.0,,,0.0,0,,5556.0,77.89,-67.52,0.0,0.91,0.05,-0.04,0.0,0.95,0.03,-0.04,0.0,0.05,0.109,-0.102,0.0,[Fe/H],4.5,0.03,-0.05,0.0,19h17m11.09s,289.2962253,+46d27m28.76s,46.4579889,411.077,2.349,-2.322,13.486,0.114,-0.114,11.664,0.016,-0.016,13.3154,0.000289,-0.000289,,,0.060008036,,1090.059087,816.9090867,1090.0590029513237,816.9090029513237,0
1420,kepler-1013 b,Kepler-1013 b,Kepler-1013,1,1,Transit,2016,Kepler,0,18.93054959,4.672e-05,-4.672e-05,0.0,0.137,,,0.0,2.15,0.36,-0.2,0.0,0.192,0.032,-0.018,0.0,5.27,,,0.0,0.0166,,,0.0,M-R relationship,0.0,,,0.0,16.1,0.38,-0.36,0.0,766.0,,,0.0,0,,4954.0,77.29,-81.88,0.0,0.76,0.03,-0.03,0.0,0.81,0.04,-0.04,0.0,0.04,0.15,-0.163,0.0,[Fe/H],4.59,0.02,-0.04,0.0,19h20m59.54s,290.2481023,+44d26m07.06s,44.4352935,422.246,3.157,-3.112,14.563,0.183,-0.183,12.289,0.019,-0.019,14.4077,0.000386,-0.000386,,,0.129581891,,580.42693,307.27693,580.4268854243917,307.2768854243917,0
1421,kepler-1014 b,Kepler-1014 b,Kepler-1014,1,1,Transit,2016,Kepler,0,16.57110363,3.817e-05,-3.817e-05,0.0,0.121,,,0.0,2.39,0.21,-0.25,0.0,0.213,0.019,-0.022,0.0,6.3,,,0.0,0.0198,,,0.0,M-R relationship,0.0,,,0.0,33.48,1.25,-1.21,0.0,614.0,,,0.0,0,,5388.0,68.87,-66.36,0.0,0.84,0.07,-0.05,0.0,0.88,0.04,-0.05,0.0,-0.06,0.151,-0.15,0.0,[Fe/H],4.54,0.04,-0.09,0.0,19h00m29.28s,285.1219875,+44d06m37.92s,44.1105331,624.8,6.638,-6.503,14.866,0.172,-0.172,12.898,0.033,-0.033,14.6265,0.000347,-0.000347,,,0.121899616,,706.1867818,433.0367818,706.1867274853045,433.0367274853045,0
1422,kepler-1015 b,Kepler-1015 b,Kepler-1015,1,1,Transit,2016,Kepler,0,16.00494214,4.175e-05,-4.175e-05,0.0,0.1396,,,0.0,3.55,1.32,-0.66,0.0,0.317,0.118,-0.059,0.0,12.3,,,0.0,0.0388,,,0.0,M-R relationship,0.0,,,0.0,172.11,7.54,-7.18,0.0,1040.0,,,0.0,0,,6769.0,136.36,-197.14,0.0,1.81,0.67,-0.34,0.0,1.49,0.22,-0.15,0.0,0.06,0.134,-0.151,0.0,[Fe/H],4.09,0.14,-0.21,0.0,19h31m01.75s,292.7573088,+43d25m36.64s,43.4268439,739.357,14.788,-14.228,12.825,0.08,-0.08,11.684,0.019,-0.019,12.7586,0.000249,-0.000249,,,0.14196196,,1212.456404,939.306404,1212.4563108451325,939.3063108451325,0
1423,kepler-1016 b,Kepler-1016 b,Kepler-1016,1,2,Transit,2016,Kepler,0,1.95452434,3.31e-06,-3.31e-06,0.0,0.0307,,,0.0,2.18,0.37,-0.28,0.0,0.194,0.033,-0.025,0.0,5.39,,,0.0,0.017,,,0.0,M-R relationship,0.0,,,0.0,1445.2,145.61,-129.63,0.0,1540.0,,,0.0,0,,5821.0,177.41,-169.89,0.0,1.0,0.17,-0.1,0.0,0.99,0.08,-0.07,0.0,-0.03,0.137,-0.182,0.0,[Fe/H],4.44,0.07,-0.13,0.0,19h38m27.29s,294.613689,+45d59m04.66s,45.9846265,1402.82,59.175,-59.175,15.531,0.092,-0.092,13.728,0.047,-0.047,15.3193,0.000434,-0.000434,,,0.030491558,,1652.6217,1379.4717,1652.6215725111067,1379.4715725111068,0
1424,kepler-1016 c,Kepler-1016 c,Kepler-1016,1,2,Transit,2016,Kepler,0,105.6551369,0.0005452,-0.0005452,0.0,0.4389,,,0.0,3.68,0.65,-0.37,0.0,0.328,0.058,-0.033,0.0,13.1,,,0.0,0.0413,,,0.0,M-R relationship,0.0,,,0.0,7.07,0.71,-0.63,0.0,407.0,,,0.0,0,,5821.0,177.41,-169.89,0.0,1.0,0.17,-0.1,0.0,0.99,0.08,-0.07,0.0,-0.03,0.137,-0.182,0.0,[Fe/H],4.44,0.07,-0.13,0.0,19h38m27.29s,294.613689,+45d59m04.66s,45.9846265,1402.82,59.175,-59.175,15.531,0.092,-0.092,13.728,0.047,-0.047,15.3193,0.000434,-0.000434,,,0.435925861,,437.0789069,163.9289069,437.0788732566544,163.9288732566544,0
1425,kepler-1017 b,Kepler-1017 b,Kepler-1017,1,1,Transit,2016,Kepler,0,7.23400469,1.433e-05,-1.433e-05,0.0,0.0702,,,0.0,1.99,0.29,-0.12,0.0,0.178,0.026,-0.011,0.0,4.62,,,0.0,0.0145,,,0.0,M-R relationship,0.0,,,0.0,119.6,4.03,-3.89,0.0,831.0,,,0.0,0,,5473.0,93.16,-81.05,0.0,0.87,0.03,-0.03,0.0,0.93,0.04,-0.04,0.0,0.04,0.101,-0.105,0.0,[Fe/H],4.53,0.02,-0.03,0.0,18h53m52.63s,283.469299,+40d07m57.07s,40.1325185,552.058,4.557,-4.484,14.315,0.092,-0.092,12.396,0.03,-0.03,14.1153,0.000215,-0.000215,,,0.071453033,,958.4325568,685.2825568,958.4324831095668,685.2824831095668,0
1426,kepler-1018 b,Kepler-1018 b,Kepler-1018,1,1,Transit,2016,Kepler,0,49.1013514,0.0001876,-0.0001876,0.0,0.253,,,0.0,2.58,0.3,-0.19,0.0,0.23,0.027,-0.017,0.0,7.18,,,0.0,0.0226,,,0.0,M-R relationship,0.0,,,0.0,12.1,0.78,-0.73,0.0,498.0,,,0.0,0,,5518.0,61.16,-57.64,0.0,0.88,0.1,-0.06,0.0,0.91,0.04,-0.06,0.0,-0.05,0.154,-0.183,0.0,[Fe/H],4.52,0.04,-0.11,0.0,18h54m23.22s,283.5967317,+45d24m28.32s,45.4078654,1010.01,25.18,-24.005,15.103,0.058,-0.058,13.373,0.043,-0.043,15.0142,0.000356,-0.000356,,,0.254302084,,511.9267352,238.7767352,511.92669581086295,238.77669581086298,0
1427,kepler-1019 b,Kepler-1019 b,Kepler-1019,1,1,Transit,2016,Kepler,0,1.41122985,7.5e-07,-7.5e-07,0.0,0.0221,,,0.0,1.46,0.05,-0.16,0.0,0.13,0.004,-0.014,0.0,2.73,,,0.0,0.00859,,,0.0,M-R relationship,0.0,,,0.0,330.25,5.45,-5.39,0.0,1164.0,,,0.0,0,,4433.0,43.73,-45.09,0.0,0.67,0.02,-0.04,0.0,0.7,0.03,-0.05,0.0,0.01,0.175,-0.178,0.0,[Fe/H],4.64,0.02,-0.03,0.0,18h54m52.22s,283.7175909,+47d12m15.77s,47.2043818,194.182,0.51,-0.507,13.882,0.069,-0.069,11.003,0.017,-0.017,13.5934,0.000539,-0.000539,,,0.021862761,,1214.182685,941.0326847,1214.1825913802213,941.0325913802213,0
1428,kepler-102 b,Kepler-102 b,Kepler-102,1,5,Transit,2014,Kepler,0,5.286965,1.2e-05,-1.2e-05,0.0,0.05521,0.00049,-0.00049,0.0,0.46,0.026,-0.026,0.0,0.041,0.002,-0.002,0.0,1.1,,,1.0,0.00346,,,1.0,Mass,0.1,,,1.0,90.0,9.0,-9.0,0.0,857.0,20.0,-20.0,0.0,0,,4909.0,98.0,-98.0,0.0,0.72,0.02,-0.02,0.0,0.8,0.02,-0.02,0.0,0.11,0.04,-0.04,0.0,[Fe/H],4.6,0.01,-0.01,0.0,18h45m55.79s,281.4824731,+47d12m28.17s,47.2078263,107.796,0.22,-0.219,12.072,0.027,-0.027,9.351,0.011,-0.011,11.4784,0.000248,-0.000248,,,0.055136786,,881.8514759,608.7014759,881.8514081340285,608.7014081340285,0
1429,kepler-102 c,Kepler-102 c,Kepler-102,1,5,Transit,2014,Kepler,0,7.071392,2.2e-05,-2.2e-05,0.0,0.06702,0.00059,-0.00059,0.0,0.567,0.028,-0.028,0.0,0.051,0.002,-0.002,0.0,1.7,,,1.0,0.00535,,,1.0,Mass,0.094,,,1.0,61.0,6.1,-6.1,0.0,777.0,18.0,-18.0,0.0,0,,4909.0,98.0,-98.0,0.0,0.72,0.02,-0.02,0.0,0.8,0.02,-0.02,0.0,0.11,0.04,-0.04,0.0,[Fe/H],4.6,0.01,-0.01,0.0,18h45m55.79s,281.4824731,+47d12m28.17s,47.2078263,107.796,0.22,-0.219,12.072,0.027,-0.027,9.351,0.011,-0.011,11.4784,0.000248,-0.000248,,,0.066933021,,800.3908366,527.2408366,800.3907751184544,527.2407751184544,0
1430,kepler-102 d,Kepler-102 d,Kepler-102,1,5,Transit,2014,Kepler,0,10.311767,4.1e-06,-4.1e-06,0.0,0.08618,0.00076,-0.00076,0.0,1.154,0.058,-0.058,0.0,0.103,0.005,-0.005,0.0,3.0,1.3,-1.3,0.0,0.00944,0.00409,-0.00409,0.0,Mass,0.092,,,1.0,36.9,3.7,-3.7,0.0,686.0,16.0,-16.0,0.0,0,,4909.0,98.0,-98.0,0.0,0.72,0.02,-0.02,0.0,0.8,0.02,-0.02,0.0,0.11,0.04,-0.04,0.0,[Fe/H],4.6,0.01,-0.01,0.0,18h45m55.79s,281.4824731,+47d12m28.17s,47.2078263,107.796,0.22,-0.219,12.072,0.027,-0.027,9.351,0.011,-0.011,11.4784,0.000248,-0.000248,,,0.086071469,,705.8315627,432.6815627,705.8315084082219,432.68150840822193,0
1431,kepler-102 e,Kepler-102 e,Kepler-102,1,5,Transit,2013,Kepler,0,16.1456994,2.2e-06,-2.2e-06,0.0,0.1162,0.001,-0.001,0.0,2.17,0.11,-0.11,0.0,0.194,0.01,-0.01,0.0,4.7,1.8,-1.8,0.0,0.01479,0.00566,-0.00566,0.0,Mass,0.089,,,1.0,20.3,2.0,-2.0,0.0,590.0,14.0,-14.0,0.0,0,,4909.0,98.0,-98.0,0.0,0.72,0.02,-0.02,0.0,0.8,0.02,-0.02,0.0,0.11,0.04,-0.04,0.0,[Fe/H],4.6,0.01,-0.01,0.0,18h45m55.79s,281.4824731,+47d12m28.17s,47.2078263,107.796,0.22,-0.219,12.072,0.027,-0.027,9.351,0.011,-0.011,11.4784,0.000248,-0.000248,,,0.116057995,,607.8567667,334.7067667,607.856719969504,334.706719969504,0
1432,kepler-102 f,Kepler-102 f,Kepler-102,1,5,Transit,2014,Kepler,0,27.453592,6e-05,-6e-05,0.0,0.1656,0.0015,-0.0015,0.0,0.861,0.022,-0.022,0.0,0.077,0.002,-0.002,0.0,4.3,,,1.0,0.01353,,,1.0,Mass,0.1,,,1.0,10.0,1.0,-1.0,0.0,495.0,11.0,-11.0,0.0,0,,4909.0,98.0,-98.0,0.0,0.72,0.02,-0.02,0.0,0.8,0.02,-0.02,0.0,0.11,0.04,-0.04,0.0,[Fe/H],4.6,0.01,-0.01,0.0,18h45m55.79s,281.4824731,+47d12m28.17s,47.2078263,107.796,0.22,-0.219,12.072,0.027,-0.027,9.351,0.011,-0.011,11.4784,0.000248,-0.000248,,,0.165336956,,509.1833024,236.0333024,509.18326327824457,236.0332632782446,0
1433,kepler-1020 b,Kepler-1020 b,Kepler-1020,1,1,Transit,2016,Kepler,0,96.9151496,0.0003632,-0.0003632,0.0,0.3878,,,0.0,2.28,0.08,-0.09,0.0,0.203,0.007,-0.008,0.0,5.82,,,0.0,0.0183,,,0.0,M-R relationship,0.0,,,0.0,2.34,0.07,-0.06,0.0,325.0,,,0.0,0,,5227.0,66.71,-60.63,0.0,0.8,0.02,-0.02,0.0,0.87,0.03,-0.03,0.0,0.0,0.103,-0.101,0.0,[Fe/H],4.57,0.02,-0.02,0.0,19h30m41.39s,292.672471,+46d22m38.20s,46.3772776,415.358,4.106,-4.106,14.211,0.137,-0.137,12.15,0.021,-0.021,13.9833,0.000253,-0.000253,,,0.394192196,,373.4553029,100.3053029,373.4552741725957,100.30527417259572,0
1434,kepler-1021 b,Kepler-1021 b,Kepler-1021,1,1,Transit,2016,Kepler,0,13.47469571,3.21e-05,-3.21e-05,0.0,0.1034,,,0.0,2.33,0.25,-0.18,0.0,0.208,0.022,-0.016,0.0,6.04,,,0.0,0.019,,,0.0,M-R relationship,0.0,,,0.0,50.37,3.06,-2.87,0.0,634.0,,,0.0,0,,5431.0,143.14,-143.99,0.0,0.86,0.09,-0.06,0.0,0.89,0.05,-0.05,0.0,-0.05,0.147,-0.17,0.0,[Fe/H],4.53,0.05,-0.09,0.0,19h40m49.18s,295.2048999,+42d33m34.81s,42.5596699,810.082,19.673,-18.777,15.207,0.08,-0.08,13.332,0.038,-0.038,15.1734,0.000678,-0.000678,,,0.106598184,,779.1369454,505.9869454,779.1368855551297,505.9868855551297,0
1435,kepler-1022 b,Kepler-1022 b,Kepler-1022,1,1,Transit,2016,Kepler,0,10.99469878,1.88e-05,-1.88e-05,0.0,0.0805,,,0.0,2.36,0.08,-0.28,0.0,0.211,0.007,-0.025,0.0,6.17,,,0.0,0.0194,,,0.0,M-R relationship,0.0,,,0.0,19.26,0.65,-0.63,0.0,512.0,,,0.0,0,,4445.0,49.47,-51.77,0.0,0.68,0.02,-0.03,0.0,0.71,0.03,-0.04,0.0,0.06,0.157,-0.175,0.0,[Fe/H],4.64,0.02,-0.03,0.0,19h17m24.49s,289.3520595,+46d58m25.08s,46.9736345,420.042,5.664,-5.519,15.758,0.08,-0.08,12.821,0.022,-0.022,15.3772,0.000473,-0.000473,,,0.086327434,,642.6482376,369.4982376,642.6481881537413,369.49818815374135,0
1436,kepler-1023 b,Kepler-1023 b,Kepler-1023,1,1,Transit,2016,Kepler,0,62.1387714,0.0002199,-0.0002199,0.0,0.301,,,0.0,2.63,0.3,-0.18,0.0,0.235,0.027,-0.016,0.0,7.41,,,0.0,0.0233,,,0.0,M-R relationship,0.0,,,0.0,6.98,0.32,-0.3,0.0,524.0,,,0.0,0,,5494.0,75.28,-98.69,0.0,0.89,0.1,-0.05,0.0,0.93,0.04,-0.04,0.0,0.05,0.155,-0.161,0.0,[Fe/H],4.51,0.04,-0.1,0.0,19h16m07.13s,289.0297232,+49d46m10.93s,49.7697034,694.175,12.345,-11.928,14.7121,0.0459,-0.0459,12.762,0.03,-0.03,14.502,0.000257,-0.000257,,,0.299692988,,469.9432867,196.7932867,469.94325061385155,196.79325061385157,0
1437,kepler-1024 b,Kepler-1024 b,Kepler-1024,1,1,Transit,2016,Kepler,0,66.4162133,0.0003538,-0.0003538,0.0,0.3033,,,0.0,3.91,0.27,-0.26,0.0,0.349,0.024,-0.023,0.0,14.5,,,0.0,0.0457,,,0.0,M-R relationship,0.0,,,0.0,5.45,0.65,-0.56,0.0,376.0,,,0.0,0,,5143.0,126.73,-76.37,0.0,0.78,0.04,-0.05,0.0,0.81,0.04,-0.05,0.0,-0.1,0.142,-0.182,0.0,[Fe/H],4.57,0.04,-0.06,0.0,19h27m48.25s,291.9510277,+38d15m05.91s,38.2516419,1087.4,50.46,-50.46,16.272,0.24,-0.24,14.05,0.067,-0.067,16.0064,0.000611,-0.000611,,,0.299193098,,410.2727381,137.1227381,410.2727066098402,137.12270660984024,0
1438,kepler-1025 b,Kepler-1025 b,Kepler-1025,1,1,Transit,2016,Kepler,0,37.3229493,0.0001363,-0.0001363,0.0,0.3344,,,0.0,1.98,0.41,-0.22,0.0,0.177,0.037,-0.02,0.0,4.58,,,0.0,0.0144,,,0.0,M-R relationship,0.0,,,0.0,17.95,1.22,-1.12,0.0,1654.0,,,0.0,0,,6089.0,102.4,-95.52,0.0,1.13,0.23,-0.12,0.0,1.09,0.08,-0.07,0.0,-0.03,0.145,-0.181,0.0,[Fe/H],4.37,0.08,-0.14,0.0,18h58m02.45s,284.510214,+43d57m41.63s,43.9615628,803.776,25.075,-25.075,13.695,0.08,-0.08,12.217,0.022,-0.022,13.5557,0.000269,-0.000269,,,0.224939967,,556.7972745,283.6472745,556.7972317262711,283.6472317262711,0
1439,kepler-1026 b,Kepler-1026 b,Kepler-1026,1,1,Transit,2016,Kepler,0,36.5156053,0.0001037,-0.0001037,0.0,0.1977,,,0.0,2.21,0.33,-0.15,0.0,0.197,0.029,-0.013,0.0,5.52,,,0.0,0.0174,,,0.0,M-R relationship,0.0,,,0.0,5.99,0.17,-0.17,0.0,425.0,,,0.0,0,,4948.0,85.79,-89.37,0.0,0.75,0.03,-0.04,0.0,0.79,0.04,-0.04,0.0,-0.02,0.151,-0.167,0.0,[Fe/H],4.59,0.02,-0.04,0.0,18h54m25.27s,283.6053012,+39d59m52.54s,39.9979286,351.239,2.596,-2.56,14.463,0.092,-0.092,12.077,0.027,-0.027,14.2019,0.000473,-0.000473,,,0.199129311,,479.4044129,206.2544129,479.404376023617,206.254376023617,0
