,ra,dec,st_pmra,st_pmdec,pl_tranmid,pl_orbper,pl_trandurh,pl_trandep,pl_rade,pl_insol,pl_eqt,st_tmag,st_dist,st_teff,st_logg,st_rad,label
3205,110.878729,50.349524,-11.496,-22.191,2459603.239373,3.2583798,2.196,4800.0,6.27906,197.102,1043.0,12.3794,270.518,4992.1,4.44,0.9,0.0
3209,130.900226,63.078077,-42.903,-17.033,2459604.77275,4.6747218,1.61,8200.0,4.73219,11.5347,513.0,12.4963,79.7634,3502.0,4.74,0.5,1.0
3214,68.891541,-56.138849,-1.949,-34.477,2458354.70968,0.91677,1.337,276.272,3.12766,4151.31,2236.0,9.9124,231.803,5825.0,4.04,1.71,0.0
3215,118.426692,46.47193,-15.033,-17.056,2458846.993395,13.247777,3.301,13420.0,11.7716,74.203,817.0,11.2119,188.294,5373.8,4.51,0.89,0.0
3220,98.732441,49.676574,-1.05,-1.028,2458865.943138,2.8300213,1.646,3790.0,6.47417,462.811,1292.0,12.2361,439.841,6205.0,4.51,1.01,0.0
3221,115.508868,61.574659,-9.876,-34.38,2458849.115258,14.9857436,5.8,9980.0,9.39924,155.741,984.0,11.6387,216.16,5279.0,4.52,0.86,0.0
3233,139.112565,69.074128,-0.55,-1.354,2459937.078969,2.8989758,1.307,3680.0,10.0928,401.9,1247.0,11.5817,421.745,5908.0,4.13,1.47,1.0
3234,96.250314,33.032134,2.306,-5.376,2459549.76003,3.6754815,2.3005775,9843.1330115,22.3487036,1252.5773445,1517.2980079,12.2337,595.137,6305.0,4.18,1.4902101,0.0
3236,22.757528,-51.215733,135.947,-69.874,2458356.07068,4.89577,2.478,360.0,3.30734,240.778,1097.0,7.1995,75.5476,5883.0,4.308429111592632,1.77,0.0
3237,112.325562,33.591361,-0.852,-2.591,2459501.092732,1.0590994,0.9853402,5155.2973108,10.6616565,18843.6190459,2988.2080302,13.286,1696.26,9332.0,4.5,1.42848,0.0
3246,121.863257,29.388645,-6.039,-22.792,2459502.744728,3.244299,2.6887498,5692.0048309,12.9273057,1427.7989564,1567.7850348,11.9824,558.141,5999.0,4.1,1.5585901,1.0
3247,3.797833,-46.272428,18.813,0.176,2458354.59152,0.4568,0.548,3428.7,6.64264,1132.97,1616.0,12.7226,506.62,5777.0,4.35,1.03,0.0
3253,151.255619,40.341064,-10.015,-7.317,2459629.957296,7.1404043,1.719,8300.0,10.5731,53.052,751.0,13.2971,715.593,5886.6,4.38,1.11,0.0
3258,99.609604,-67.656396,7.85,-51.7,2458335.77147,10.98036,1.838,2630.0,14.3833,150.042,1461.4867675239982,10.2401,204.207,5951.0,4.308429111592632,1.27,0.0
3269,7.658562,-52.049331,2.344,10.402,2458357.58381,9.30734,4.683,42774.4,30.7623,304.138,1163.0,13.5281,958.366,5819.0,4.34,1.35,0.0
3273,150.891937,67.990378,-11.332,-35.591,2458883.544637,19.5112506,3.896,4080.0,10.743430929724102,4144.881652659686,1461.4867675239982,11.4794,345.366,5852.984551827742,4.308429111592632,1.5313770561166058,0.0
3275,140.462178,38.618961,14.231,-3.961,2459632.687208,2.1461672,1.942,14110.0,16.91,663.959,1414.0,12.7553,749.892,6046.0,4.19,1.41,0.0
