,ra,dec,st_pmra,st_pmdec,pl_tranmid,pl_orbper,pl_trandurh,pl_trandep,pl_rade,pl_insol,pl_eqt,st_tmag,st_dist,st_teff,st_logg,st_rad,label
3968,296.200551,49.14003,-2.78,-12.122,2459422.773399,4.9427985,3.3153828,11349.4838661,15.3204961,469.3399619,1187.1118303,13.2394,739.412,5550.93,4.18442,1.32567,1.0
3969,289.434667,49.473455,0.166,8.565,2459770.385346,3.2175184,1.8986264,12691.8036893,10.5529773,393.9910424,1136.2956303,14.3258,843.695,5549.0,4.50842,0.912927,1.0
3970,252.125998,74.76375,-0.535,-13.443,2459711.665481,3.9393773,5.61,4110.0,13.625,1680.38,1783.0,11.0672,505.432,5904.4,3.84,2.1,
3971,251.827318,67.298053,-13.67,34.279,2459840.458684,5.7475343,1.846,11890.0,6.43097,12.9407,528.0,14.3668,254.968,3750.0,4.67041,0.58,
3972,75.17158,-35.202674,-6.448,-14.791,2458440.43161,3.5018023,3.917956,16196.191206,22.103526,1744.6608389,1648.3426761,11.921,674.155,6383.9,4.03,1.66889,
3973,19.91003,85.13439,-60.989,-16.771,2459749.077099,28.6650818,4.334,970.0,2.25021,10.2433,498.0,10.3859,82.2168,4818.0,4.65,0.69,
3974,279.146891,16.45244,-42.628,3.593,2459761.942759,3.7006742,3.115,840.0,2.61277,1434.65,1714.0,10.4787,106.424,5025.0,4.56,0.79,
3975,274.669941,36.254856,6.882,-2.91,2459789.419251,4.9133022,5.159,2040.0,9.33912,999.403,1566.0,10.445,368.922,5918.0,3.84,2.06,
3976,279.358129,18.729952,-5.208,50.723,2459766.955834,2.88069,1.784,10380.0,22.4297,678.487,1421.0,10.4673,173.117,5541.0,4.36,1.09,1.0
3977,113.133261,75.789688,14.983,-4.29,2459602.566546,8.0379975,3.287,320.0,7.65886,83.2088,841.0,9.12551,360.444,5022.0,,5.14,
3978,276.134031,15.841886,-54.422,43.693,2459395.124979,,12.002,13520.0,11.62,130.528,941.0,9.85277,121.139,5557.0,4.44,0.99,
3979,299.097517,43.497585,-3.56,-2.141,2459799.901292,5.0141991,4.5606871,6026.126007,13.4911728,1233.0979889,1511.3642562,13.3926,1249.41,6669.0,4.12805,1.69675,1.0
3980,285.268528,48.559884,-5.735,-23.482,2459420.812052,7.7942155,0.9710311,2950.7357104,4.9169842,112.1124314,829.914194,11.8933,268.041,5461.54,4.50982,0.897403,1.0
3981,260.575023,72.645373,-7.097,-5.068,2459848.554322,2.7708596,2.17,22640.0,12.2577,208.594,1058.0,13.2847,375.517,4975.0,4.55845,0.79,
3982,260.575023,72.645373,-7.097,-5.068,2459424.229778,7.014001,2.9681334,1646.6732684,3.6528621,75.6935339,752.2846294,13.2847,375.517,4975.0,4.55845,0.789304,
3983,299.050641,17.569963,4.131,-1.832,2459421.462837,2.6634154,1.8429688,37522.94895,13.6857367,113.6142497,832.6796495,14.1959,305.3,4051.0,4.54826,0.701369,1.0
3984,77.260156,-36.464478,-7.173,18.997,2459176.31925,5.5292743,2.542935,17914.4576673,23.5458512,549.2969498,1234.7287098,8.8695,126.177,6350.0,4.34,1.26396,
3985,300.182122,22.709776,-3.294,-250.225,2459770.410421,2.2185748,1.8233621,25854.2144559,13.3010355,348.1506195,1101.6954166,6.8481,19.7638,5023.0,4.58,0.776484,1.0
3986,294.996342,50.470046,4.282,-1.88,2459422.907793,3.2432488,3.0748441,17481.8216448,14.5800064,631.4204214,1278.4960939,14.4394,1140.95,5778.0,4.37783,1.09304,1.0
3987,292.287301,43.197254,2.265,-2.917,2459422.501343,8.6004516,8.950521,3575.6614227,14.548121,862.8947232,1382.3219455,13.1981,1418.77,6011.95,3.75585,2.3108399,1.0
3988,290.357978,40.567697,-4.449,-9.51,2459420.412953,3.7970076,2.5256778,16421.7314916,11.7557579,218.0029128,980.0208686,14.148,646.647,5211.36,4.54655,0.832631,1.0
3989,298.62498,48.57745,6.187,1.159,2459422.509996,3.3119026,1.181072,7620.7493837,10.9625327,487.2033805,1198.2496832,13.692,698.646,5355.0,4.33005,1.09206,1.0
3990,289.607943,44.345435,-2.604,-0.413,2459422.607769,3.578757,3.1806502,11391.7385882,12.1416042,445.8323379,1171.9596007,13.4231,639.411,5482.59,4.36922,1.06062,1.0
3991,285.213819,39.027466,0.104,4.231,2459421.077646,1.5947535,1.94145,15065.2565497,14.3739674,1761.2885419,1652.2561498,15.0236,1490.94,5703.0,4.31786,1.15986,1.0
3992,309.461444,37.155939,-2.429,-4.534,2459813.939921,7.8127906,6.304,8120.0,22.0599,2051.05,1874.0,11.7018,782.732,8451.0,4.00707,2.38,
3993,303.549181,54.694405,10.307,27.092,2459819.787515,2.7586362,2.868,4240.0,7.78435,787.087,1475.0,11.4682,296.293,5774.0,4.32015,1.17,
3994,316.096939,24.653674,90.926,-121.112,2459797.406342,1.1589013,1.1688702,3470.6759302,2.6829722,88.1856149,781.5723494,12.9374,80.6532,3449.0,4.80176,0.427389,1.0
3995,75.795382,-30.399461,-9.339,-21.995,2458438.402842,0.8820624,0.5759672,11755.4509288,8.3888941,983.4245957,1428.2525761,13.1686,308.262,4669.0,4.52,0.782888,1.0
3996,294.356556,38.947342,-0.071,-5.376,2459771.442186,3.8493846,2.6908269,1372.2876678,16.8088001,6689.7863925,2306.6027861,11.0418,788.238,5843.47,3.27448,3.9119101,1.0
3997,311.2697,44.500235,434.079,271.143,2460394.129591,0.926323,0.933,987.0,4.00713,1082.41,1597.0,8.72762,12.0445,3573.0,4.80376,0.43,
3998,297.015464,49.225299,-2.464,-3.825,2459772.312716,2.8164979,2.6896665,19270.727034,14.4894174,539.3972356,1229.1274806,14.4889,939.744,5413.0,4.39994,1.0130399,1.0
3999,297.790921,16.912568,8.954,2.754,2459420.283409,1.752217,2.1714375,77630.4124578,20.3177656,282.3101387,1045.4454298,15.1403,565.541,4355.0,4.53128,0.740712,1.0
4000,296.683099,42.967882,4.537,1.17,2459420.963218,2.6890703,2.1209962,38330.4094984,15.2271225,248.5292583,1012.661107,15.0893,734.772,4844.0,4.54518,0.785703,
4001,293.092528,41.35551,-1.535,-4.732,2459423.155978,7.3405675,3.2557004,11139.7005929,16.7317044,378.0645504,1124.6340774,13.9154,1177.55,5828.81,4.14418,1.4372801,1.0
4002,305.441329,26.692676,-9.203,1.901,2459820.592337,2.6915614,4.2401266,7115.7804049,17.2177258,4243.2785887,2058.4728157,9.93225,350.351,6955.0,4.04,1.96079,1.0
4003,306.422081,45.971031,-0.62,-13.411,2459818.051018,3.9540617,3.869,5820.0,13.1238,792.078,1477.0,11.4923,479.145,5773.0,4.03,1.69,
4004,299.905917,45.43961,-0.429,-15.097,2459798.529256,4.45417,2.27143,21409.0524466,13.8017218,233.7193811,997.225629,14.3945,751.776,5353.54,4.47701,0.922087,1.0
4005,284.296039,51.269121,-4.114,-0.854,2459911.038989,2.7974757,2.2149132,18699.8504805,12.0149088,412.3913581,1149.3363399,12.7678,390.594,5477.0,4.54393,0.867368,1.0
4006,63.756266,-22.11639,-0.463,6.424,2459175.58961,2.1751729,4.7918806,7780.6435196,18.7874019,4812.6238237,2124.2969654,11.8282,754.258,6291.0,3.9,2.0625999,1.0
4007,299.561868,43.503517,-4.417,-9.668,2459421.60304,2.0523417,2.1224957,34476.0907387,22.5105621,1327.2498679,1539.4228275,14.7344,1302.33,5767.0,4.31546,1.16875,1.0
4008,305.689744,47.308619,227.022,204.489,2459829.762042,5.0066385,1.484,1150.0,2.12746,18.0481,574.0,10.4382,46.4488,4006.0,4.68,0.6,
4009,308.6508,29.238102,-55.188,-74.837,2459819.412035,4.4331839,3.856,9150.0,12.3472,611.202,1385.0,9.63105,143.184,5667.0,4.24,1.26,
4010,298.686935,23.060942,14.321,31.288,2459794.386139,1.5076298,1.93,280.0,4.68666,820.873,1491.0,8.94942,181.32,4954.0,,2.82,
4011,293.328194,33.482606,12.9,4.4,2460318.212526,32.535016,3.67,3821.0,,33.301,669.0,7.3664,54.9701,6303.8,,,
4012,286.362495,37.02599,12.296,-25.192,2459765.914829,5.1830043,2.783,670.0,3.63045,346.626,1202.0,9.00568,132.214,6156.0,4.25196,1.34,
4013,286.362495,37.02599,12.296,-25.192,2459770.010155,2.5693728,2.471,290.0,2.18392,1001.28,1567.0,9.00568,132.214,6156.0,4.25196,1.34,
4014,305.270928,43.675167,8.4,-2.1,2459826.109155,1.1880301,1.8880804,2731.3074339,,2072.9370109,1720.9421672,9.159,264.751,,,,
4015,306.396098,27.816089,12.348,9.1,2459440.840426,3.6001959,2.887,7820.0,16.1928,1141.26,1619.0,10.3544,395.542,7172.0,4.16,1.75,
4016,295.468588,23.377283,68.321,-164.342,2459441.270166,5.3073459,3.714,200.0,2.05347,494.046,1313.0,7.948,79.4746,5821.4,4.16,1.42,0.0
4017,284.361887,39.076184,22.207,29.304,2460338.925724,3.4902115,2.449,366.0,2.05978,555.873,1352.0,10.1293,175.743,6111.0,4.43,1.09,
4018,284.361887,39.076184,22.207,29.304,2460335.262371,5.5387718,3.163,439.0,2.07738,366.683,1219.0,10.1293,175.743,6111.0,4.43,1.09,
4019,79.005088,-31.412694,34.246,-0.735,2459182.487384,10.7148661,2.1121584,56325.9173745,14.037554,3.1541502,339.8915287,12.4258,53.5063,3054.0,4.438,0.422267,
4020,306.244087,30.348186,4.555,-2.177,2459446.222222,1.773346,3.291,710.0,7.95884,6411.52,2492.0,10.351,604.164,6802.0,3.63,3.08,0.0
4021,292.723724,30.433453,2.742,4.353,2460337.772433,2.0348789,2.379,176.0,3.57655,93196.9,4867.0,8.46837,334.551,8279.0,3.81,2.94,
4022,311.435385,43.445151,2.207,1.131,2460366.918358,0.8560277,1.587,247.0,3.15801,46825.3,,8.716291,413.683,11798.0,4.18,2.38,0.0
4023,103.092872,-65.097657,-62.709,-62.418,2459234.617058,710.6982018,7.1450196,691.3914728,2.0928405,0.8364817,243.9123864,9.0803,62.505,5334.0,4.6001,0.796254,
4024,114.467307,-62.078278,-8.658,-8.319,2460059.618864,82.9294114,7.4967507,13067.7332328,11.4756331,0.2639044,182.8021957,12.5542,342.605,5271.0,4.43,0.960919,
4025,114.467307,-62.078278,-8.658,-8.319,2459038.460359,2.4261538,2.1344641,754.8303067,2.6600255,548.0543839,1234.029846,12.5542,342.605,5271.0,4.43,0.960919,
4026,95.241796,-60.955781,-1.117,29.537,2459068.264739,19.4723789,7.7309404,7062.8806063,17.3337286,289.5679511,1052.1008534,10.4223,421.749,7182.7,4.24,1.9674799,
4027,354.410625,-12.84253,203.26,-319.09,2458357.518293,5.4107024,0.7211954,22498.1066362,2.9859726,1.9002158,299.447353,13.6343,,2938.0,5.14513,0.185013,
4028,80.451368,-69.988217,21.922,4.006,2458413.850483,104.6162557,9.3317949,6111.4633395,15.8235575,23.5777503,562.0116791,10.2301,178.26,6115.26,3.90726,1.97585,
4029,69.614731,-31.189335,86.8,20.513,2458438.012099,3.4672779,0.4055928,3657.0603553,2.1135466,13.9606166,492.9988422,11.8371,33.4412,3383.0,4.89132,0.332564,
4030,100.953422,-52.638381,-0.11,-6.068,2459231.763893,,6.4567709,3177.6204985,10.4883207,18.6516855,530.0285587,11.4003,629.031,6930.0,4.10087,1.81171,
