,hostname,st_spectype,st_teff,st_rad,st_lum,sy_dist,sy_bmag,sy_vmag,b-v_index,abs_mag
3647,HD 147873,G1 V,5972.0,2.29,0.777,109.055,8.557,7.96,0.5970000000000004,2.7717720895538944
3666,HD 148164,F8,6032.0,1.34,0.33,77.1971,8.688,8.23,0.4580000000000002,3.7919950707082144
3680,HD 149026,G0,6084.0,1.5,0.44,75.8643,8.753,8.15,0.6029999999999998,3.749812725293281
3703,HD 149143,G0,5856.0,1.44,0.35,73.2801,8.482,7.89,0.5919999999999996,3.565069733449217
3704,HD 150010,K2 III,4153.0,16.2,1.982,144.49,7.646,6.2893,1.3567,0.49011104464446387
3717,HD 150706,G0,5903.0,1.01,0.045,28.2697,7.635,7.03,0.6049999999999995,4.773394001244634
3730,HD 152079,G6 V,5726.0,1.15,0.107,87.8888,9.909,9.18,0.729000000000001,4.46033232588878
3770,HD 154088,K1V,5409.0,0.95,-0.143,18.2692,7.411,6.59,0.8209999999999997,5.281402348949526
3782,HD 154345,G8V,5468.0,0.86,-0.187,18.284,7.487,6.76,0.7270000000000003,5.449643936913534
3793,HD 154391,K1 III,4909.0,8.56,1.581,100.947,7.165,6.1552,1.0098000000000003,1.1347329156871693
3800,HD 154672,G3 IV,5655.0,1.44,0.281,63.0484,8.905,8.21,0.6949999999999985,4.211629650925392
3838,HD 156411,F8 IV/V,5900.0,2.16,0.731,56.8655,7.274,6.67,0.6040000000000001,2.8957556894489747
3844,HD 156668,K2,4813.0,0.8,-0.509,24.3323,9.317,8.43,0.8870000000000005,6.49908418816595
3870,HD 158259,G0,5834.0,1.29,0.243,27.0498,7.073,6.47915,0.5938500000000007,4.318329708095281
3873,HD 158996,K5 III,4069.0,50.3,3.015,283.659,7.219,5.72291,1.4960900000000006,-1.5410728375880263
3878,HD 15906,K V,4757.0,0.76,-0.569,45.5621,10.729,9.78,0.9489999999999998,6.486981335454393
3880,HD 159243,G0 V,6123.0,1.12,0.114,73.3055,9.191,8.65,0.5410000000000004,4.324317198415031
3896,HD 1605,K1 IV,4757.0,3.8,0.82,88.8047,8.546,7.52,1.0259999999999998,2.7778202426132435
3912,HD 160691,G3IV/V,5784.0,1.33,0.303,15.5981,5.808,5.12,0.6879999999999997,4.154641498538524
3924,HD 161178,G9 III,4786.0,10.95,1.751,107.188,6.886,5.88375,1.00225,0.7330191620919404
3968,HD 162020,K2V:,4702.0,0.76,-0.602,30.8248,10.105,9.1,1.0050000000000008,6.655498662741147
3972,HD 163607,G5,5522.0,1.76,0.42,67.7855,8.762,8.0,0.7620000000000005,3.8443159807726666
3987,HD 16417,G1V,5817.0,1.63,0.465,25.3936,6.423,5.78,0.6429999999999998,3.7563786284976155
3994,HD 164509,G5 V,5922.0,1.06,0.061,53.1119,8.699,8.1,0.5990000000000002,4.47404081028748
4009,HD 164595,G2V,5745.0,1.04,0.037,28.254,7.775,7.08597,0.6890300000000007,4.830570295868169
4022,HD 164922,K0V,5385.0,0.94,-0.119,22.0016,7.81,7.01227,0.7977299999999996,5.299998676365281
4041,HD 165155,G8 V,5426.0,0.95,-0.155,63.3574,10.197,9.36,0.8369999999999997,5.3510132660591525
4048,HD 1666,F7 V,6317.0,1.93,0.73,117.908,8.649,8.17,0.4789999999999992,2.812283636187578
4063,HD 167042,K1 IV,4943.0,4.5,1.0,49.6633,6.926,5.98796,0.93804,2.5077821302933057
4074,HD 167768,G8 III,4851.0,9.7,1.669,107.214,6.886,5.98894,0.8970599999999997,0.8376825039178177
4086,HD 168009,G2V,5767.0,1.17,0.149,23.3032,6.93,6.295,0.6349999999999998,4.4579221873767985
