pl_name,pl_type
Kepler-58 e,Super+Earth
Kepler-656 c,Super+Earth
Kepler-763 c,Super+Earth
Kepler-784 c,Super+Earth
Kepler-864 c,Super+Earth
Kepler-763 d,Super+Earth
EPIC 229004835 b,Super+Earth
TOI-733 b,Super+Earth
K2-415 b,Super+Earth
TOI-2096 b,Super+Earth
TOI-2096 c,Super+Earth
L 363-38 b,Super+Earth
TOI-836 b,Super+Earth
TOI-836 c,Super+Earth
Wolf 1069 b,Super+Earth
KMT-2016-BLG-1105L b,Super+Earth
KMT-2017-BLG-1194L b,Super+Earth
KMT-2019-BLG-1367L b,Super+Earth
KMT-2019-BLG-1806L b,Super+Earth
KMT-2021-BLG-1391L b,Super+Earth
OGLE-2019-BLG-1053L b,Super+Earth
GJ 1002 b,Super+Earth
GJ 1002 c,Super+Earth
TOI-1695 b,Super+Earth
HD 20329 b,Super+Earth
TOI-1468 b,Super+Earth
TOI-1468 c,Super+Earth
K2-413 c,Super+Earth
K2-414 b,Super+Earth
K2-414 c,Super+Earth
HD 23472 f,Super+Earth
GJ 2030 b,Super+Earth
HD 93351 b,Super+Earth
LP 890-9 c,Super+Earth
LP 890-9 b,Super+Earth
TOI-1452 b,Super+Earth
TOI-712 b,Super+Earth
HD 93963 A b,Super+Earth
HD 93963 A c,Super+Earth
TOI-2081 b,Super+Earth
HD 260655 b,Super+Earth
HD 260655 c,Super+Earth
HD 28109 b,Super+Earth
Ross 508 b,Super+Earth
TOI-500 c,Super+Earth
TOI-2136 b,Super+Earth
TOI-1246 c,Super+Earth
EPIC 206317286 c,Super+Earth
HD 73583 c,Super+Earth
K2-368 b,Super+Earth
K2-369 b,Super+Earth
K2-374 b,Super+Earth
K2-376 b,Super+Earth
K2-377 b,Super+Earth
K2-384 b,Super+Earth
TOI-1670 b,Super+Earth
K2-373 b,Super+Earth
K2-384 c,Super+Earth
K2-384 d,Super+Earth
K2-384 e,Super+Earth
K2-385 b,Super+Earth
K2-389 c,Super+Earth
K2-391 b,Super+Earth
K2-392 b,Super+Earth
K2-394 b,Super+Earth
K2-396 b,Super+Earth
K2-400 b,Super+Earth
K2-407 b,Super+Earth
K2-407 c,Super+Earth
K2-408 b,Super+Earth
K2-368 c,Super+Earth
K2-368 d,Super+Earth
K2-381 b,Super+Earth
K2-381 c,Super+Earth
K2-381 d,Super+Earth
K2-382 b,Super+Earth
K2-383 b,Super+Earth
KMT-2021-BLG-0912L b,Super+Earth
GJ 3929 b,Super+Earth
Kepler-1972 b,Super+Earth
Kepler-1972 c,Super+Earth
TOI-1075 b,Super+Earth
TOI-1411 b,Super+Earth
TOI-1442 b,Super+Earth
TOI-1693 b,Super+Earth
TOI-1860 b,Super+Earth
TOI-206 b,Super+Earth
TOI-2260 b,Super+Earth
TOI-2411 b,Super+Earth
TOI-2427 b,Super+Earth
TOI-2445 b,Super+Earth
TOI-500 b,Super+Earth
TOI-833 b,Super+Earth
TOI-1064 b,Super+Earth
LTT 1445 A c,Super+Earth
Kepler-1705 c,Super+Earth
OGLE-2019-BLG-0960L b,Super+Earth
Kepler-1669 c,Super+Earth
Kepler-1743 b,Super+Earth
Kepler-1794 b,Super+Earth
Kepler-1831 b,Super+Earth
Kepler-1841 b,Super+Earth
Kepler-1869 b,Super+Earth
Kepler-1893 b,Super+Earth
Kepler-1907 c,Super+Earth
Kepler-1938 b,Super+Earth
Kepler-1940 b,Super+Earth
Kepler-1711 b,Super+Earth
Kepler-1745 b,Super+Earth
Kepler-1756 b,Super+Earth
Kepler-1804 b,Super+Earth
Kepler-1867 b,Super+Earth
Kepler-1911 b,Super+Earth
Kepler-1953 b,Super+Earth
Kepler-394 d,Super+Earth
Kepler-1837 b,Super+Earth
Kepler-1838 b,Super+Earth
Kepler-1855 b,Super+Earth
Kepler-1873 b,Super+Earth
Kepler-1901 b,Super+Earth
Kepler-1932 b,Super+Earth
Kepler-381 d,Super+Earth
Kepler-1315 c,Super+Earth
Kepler-1600 c,Super+Earth
Kepler-1813 b,Super+Earth
Kepler-1826 b,Super+Earth
Kepler-1846 b,Super+Earth
Kepler-1852 b,Super+Earth
Kepler-1859 b,Super+Earth
Kepler-1876 b,Super+Earth
Kepler-1879 b,Super+Earth
Kepler-1891 b,Super+Earth
Kepler-324 e,Super+Earth
Kepler-1073 d,Super+Earth
Kepler-1751 b,Super+Earth
Kepler-1805 b,Super+Earth
